Vendor,Category,Amount,Date
Internet,Utilities,142.6,2024-04-04
Costco,Groceries,166.15,2024-04-30
Landlord,Rent,36.0,2024-04-28
Landlord,Rent,185.13,2023-11-03
Spotify,Entertainment,175.45,2023-12-06
Costco,Groceries,129.28,2024-03-22
Uber,Transportation,40.95,2023-12-31
Taco Bell,Dining,179.41,2023-08-11
Spotify,Entertainment,91.03,2024-03-04
Landlord,Rent,62.2,2024-03-10
Burger King,Dining,108.83,2023-12-15
Landlord,Rent,41.69,2024-06-28
Internet,Utilities,100.85,2024-04-02
Gas Station,Transportation,119.57,2023-09-10
Target,Groceries,16.61,2023-10-25
Taco Bell,Dining,105.14,2024-03-14
Lyft,Transportation,132.01,2023-09-10
Electricity,Utilities,91.73,2024-01-19
Spotify,Entertainment,100.22,2023-10-11
Cinema,Entertainment,135.93,2023-08-03
Walmart,Groceries,113.37,2023-08-01
Gas Station,Transportation,166.18,2023-09-26
Internet,Utilities,34.56,2023-11-26
Electricity,Utilities,131.57,2024-01-30
Lyft,Transportation,106.27,2024-04-29
McDonald's,Dining,24.91,2023-11-02
Target,Groceries,99.37,2023-08-09
Landlord,Rent,103.27,2024-03-13
Burger King,Dining,20.53,2024-07-05
Walmart,Groceries,97.54,2024-05-01
Target,Groceries,125.23,2024-06-20
Burger King,Dining,61.06,2024-05-13
McDonald's,Dining,190.96,2023-09-27
Cinema,Entertainment,173.29,2024-06-21
Uber,Transportation,92.37,2023-07-28
Water,Utilities,122.98,2023-12-14
Gas Station,Transportation,190.78,2024-03-31
Landlord,Rent,66.12,2023-09-10
Lyft,Transportation,118.53,2023-09-20
Netflix,Entertainment,54.97,2024-04-22
Target,Groceries,176.29,2024-01-18
Spotify,Entertainment,190.24,2023-07-22
Electricity,Utilities,119.24,2024-04-06
Netflix,Entertainment,139.77,2023-07-17
Landlord,Rent,91.02,2024-01-15
McDonald's,Dining,72.49,2023-08-12
Internet,Utilities,182.57,2023-09-28
Landlord,Rent,114.75,2023-08-02
Burger King,Dining,95.86,2023-10-18
Gas Station,Transportation,189.33,2023-12-30
Landlord,Rent,118.34,2024-07-03
Landlord,Rent,21.33,2023-09-16
Internet,Utilities,33.55,2024-01-26
Netflix,Entertainment,16.06,2024-03-26
Landlord,Rent,199.15,2023-08-29
Uber,Transportation,21.9,2023-07-18
Electricity,Utilities,20.48,2023-12-18
Water,Utilities,48.03,2023-11-07
Taco Bell,Dining,111.54,2024-03-20
Taco Bell,Dining,51.65,2024-02-28
Walmart,Groceries,148.61,2024-03-26
Landlord,Rent,174.97,2023-12-31
Lyft,Transportation,162.07,2024-01-31
Spotify,Entertainment,167.72,2023-08-28
Target,Groceries,11.63,2023-07-19
Uber,Transportation,11.82,2023-09-07
Netflix,Entertainment,19.74,2023-10-10
Taco Bell,Dining,143.81,2023-12-31
Netflix,Entertainment,31.0,2024-06-07
Landlord,Rent,40.52,2023-11-04
Landlord,Rent,37.86,2023-12-31
Electricity,Utilities,90.91,2024-03-02
Costco,Groceries,10.71,2023-10-06
Landlord,Rent,187.15,2023-12-19
Spotify,Entertainment,167.19,2023-12-31
Burger King,Dining,83.82,2024-03-12
Netflix,Entertainment,123.97,2023-09-19
Burger King,Dining,138.27,2023-11-05
Costco,Groceries,124.33,2023-10-12
Walmart,Groceries,54.44,2023-10-26
Gas Station,Transportation,52.36,2024-04-14
Target,Groceries,37.26,2024-05-08
Cinema,Entertainment,142.38,2023-09-09
Cinema,Entertainment,46.87,2024-06-24
Landlord,Rent,43.05,2024-02-18
Cinema,Entertainment,70.52,2023-07-12
Internet,Utilities,148.36,2023-10-14
Cinema,Entertainment,160.26,2023-11-04
Taco Bell,Dining,61.53,2023-11-07
Electricity,Utilities,196.91,2023-09-14
Target,Groceries,40.9,2024-03-19
Landlord,Rent,141.55,2023-09-04
Lyft,Transportation,119.8,2024-03-07
Spotify,Entertainment,78.37,2024-02-09
Water,Utilities,84.0,2023-10-29
Spotify,Entertainment,61.31,2024-02-05
Target,Groceries,148.88,2023-10-11
Landlord,Rent,188.63,2023-10-07
Electricity,Utilities,174.69,2023-11-24
Landlord,Rent,126.57,2024-03-03
